,val_loss,val_categorical_accuracy,loss,categorical_accuracy
0,1.2928488304217656,0.13234111666679382,1.5196857971173745,0.09037639200687408
1,1.1714243044455845,0.15124697983264923,1.320026621222496,0.11278870701789856
2,1.0123063772916794,0.21882542967796326,1.1889897358638268,0.15333618223667145
3,0.857205202182134,0.30048269033432007,1.020821468145759,0.22023096680641174
4,0.7069478904207548,0.4119066894054413,0.8558849024551886,0.3122326731681824
5,0.5919507294893265,0.4915526807308197,0.7146436588631736,0.39828914403915405
6,0.4944731245438258,0.5720032453536987,0.6030498089061843,0.48015397787094116
7,0.419132520755132,0.6347545981407166,0.5057262993521161,0.548075258731842
8,0.35921572397152585,0.6814159154891968,0.43146507993892386,0.6044054627418518
9,0.3197322649260362,0.7148029208183289,0.370288302363069,0.6547476649284363
10,0.28167521705230075,0.7445695996284485,0.3270816318690777,0.6904619336128235
11,0.2699037715792656,0.7546259164810181,0.29132237575120395,0.7182634472846985
12,0.25063899407784146,0.7691069841384888,0.2645028370122115,0.7397348284721375
13,0.24100530271728834,0.7759453058242798,0.244394407366161,0.7565440535545349
14,0.22981715326507887,0.7888174057006836,0.22550475224852562,0.7741659283638
15,0.22782870506246886,0.7880128622055054,0.21033721775920303,0.7844311594963074
16,0.22157927975058556,0.7928398847579956,0.20037948326380164,0.79178786277771
17,0.2159585915505886,0.7976669073104858,0.18975085903097083,0.802395224571228
18,0.21207275241613388,0.7992759346961975,0.1809796130767575,0.8076133728027344
19,0.21006657555699348,0.8008849620819092,0.1743711016520306,0.8133875131607056
20,0.2089727222919464,0.8037007451057434,0.16863983152089296,0.8179640769958496
21,0.20558543999989828,0.8109412789344788,0.16236046329140663,0.824123203754425
22,0.20352477580308914,0.8077232241630554,0.15626260479567228,0.828742504119873
23,0.20261106453835964,0.8085277676582336,0.1528847138914797,0.8313087821006775
24,0.20196188241243362,0.8121480345726013,0.14694879797321778,0.8363558650016785
25,0.19922389897207418,0.8185840845108032,0.1456887603357986,0.8364841938018799
26,0.20244851522147655,0.8129525184631348,0.14170472220414215,0.8400769829750061
27,0.19975814719994864,0.813757061958313,0.13831606148569672,0.8408468961715698
28,0.2035522380222877,0.8165727853775024,0.13651503291394976,0.8446107506752014
29,0.20194044336676598,0.8185840845108032,0.13462314175234902,0.8451240658760071
30,0.20105587815244993,0.8213998675346375,0.13269053254690436,0.8483319282531738
31,0.20052265375852585,0.8165727853775024,0.1289146254873938,0.8492301106452942
32,0.2022597324103117,0.8197908401489258,0.12806692816041135,0.8505132794380188
33,0.20100142930944762,0.8161705732345581,0.1254585366006251,0.852651834487915
34,0.20305857062339783,0.8189862966537476,0.12488058326696908,0.8532934188842773
35,0.20367236932118735,0.813757061958313,0.12304029917275464,0.85483318567276
